"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"927",2,3,9,2,3,0,1,13,13,67,1,0,21,26,18,1,4,8,1,37,52,1,7,17,49,5,7,13,0,2,13,3,31,29,1,9,6,23,14,0,6,51,352,0,0,6,7,0,9,19,3,1,2,34,1,20,9,27,14,2,0,21,45,2,7,25,0,2,9,2,1,11,3,22,1,3,5,0,8,28,34,13,5,0,1,25,7,8,41,33,5,8,29,2,0,9,0,0,0,1
"928",9,2,17,0,1,0,3,16,12,45,1,1,19,24,21,3,5,1,2,33,104,0,5,22,48,8,1,12,0,0,9,1,27,23,1,10,2,23,28,10,2,53,447,5,1,6,8,0,3,28,3,1,6,35,0,21,6,17,10,7,0,29,23,4,4,15,0,5,11,4,1,6,6,22,2,1,6,1,3,26,33,15,2,0,3,22,13,9,27,34,2,8,17,1,0,5,0,1,0,0
"929",5,3,14,3,3,0,0,12,9,61,2,2,22,17,8,1,4,3,1,38,92,1,5,26,60,3,5,8,1,0,8,0,36,18,1,11,7,29,18,14,2,47,484,3,0,8,11,0,4,24,3,1,0,34,2,24,4,16,6,11,0,25,18,4,5,18,0,2,14,0,0,6,5,25,4,2,4,1,2,22,24,14,2,0,6,22,12,7,18,33,3,8,20,1,3,9,0,3,0,0
"930",5,2,25,1,0,0,3,22,12,65,0,0,18,13,1,1,5,0,2,35,36,0,5,38,67,3,1,18,0,5,11,1,22,25,1,10,11,29,23,5,0,44,461,0,0,10,13,0,3,30,6,2,3,38,0,31,6,25,3,14,0,19,17,3,10,30,0,2,18,0,7,8,2,28,2,4,7,1,7,32,27,13,4,3,5,18,16,12,31,42,5,5,26,2,6,16,0,2,1,1
"931",5,0,28,3,2,0,1,19,9,54,0,0,12,16,1,2,5,20,2,31,79,0,9,25,71,2,5,15,7,0,10,3,23,26,0,8,7,32,26,10,0,47,422,2,1,11,17,0,5,23,3,1,4,44,1,20,6,28,1,13,0,23,18,6,12,31,0,5,1,1,3,5,9,24,3,1,2,5,8,37,33,18,8,1,3,26,8,1,42,32,3,6,37,2,1,13,0,1,1,1
"932",5,1,18,1,5,0,1,19,8,51,0,0,5,19,1,0,5,6,3,35,39,0,9,29,87,3,5,16,4,1,8,0,21,36,0,8,5,26,16,8,0,54,390,1,0,9,12,0,2,24,1,1,12,50,2,22,2,15,0,17,0,33,21,9,9,11,0,2,2,2,2,7,9,28,1,3,2,3,11,44,37,13,5,1,2,18,9,2,20,42,5,2,38,1,1,9,0,1,2,1
"933",6,0,25,1,2,2,0,14,14,51,4,0,2,12,0,1,2,6,0,31,50,2,6,20,81,7,5,7,2,2,7,4,23,25,1,8,4,23,25,16,17,43,461,0,2,8,6,0,6,17,0,1,7,40,1,28,0,1,0,5,0,28,14,2,6,21,0,7,7,1,0,7,6,28,1,1,3,7,4,36,41,20,4,0,2,26,14,3,86,32,4,10,17,0,4,14,0,3,1,1
"934",10,2,16,2,2,1,0,22,6,46,0,0,5,20,0,6,6,4,0,34,23,1,5,24,69,4,1,16,2,1,9,2,17,17,0,7,1,22,19,18,10,56,472,1,0,9,13,1,3,17,1,0,10,39,1,23,6,1,1,6,0,24,11,1,4,22,0,4,13,1,3,5,11,26,4,0,1,4,9,39,30,16,1,0,2,19,7,8,86,34,3,8,14,0,2,5,0,2,0,4
"935",4,1,17,1,1,2,9,22,7,55,0,1,10,14,0,5,4,27,1,48,122,0,7,13,53,0,3,9,1,1,2,2,22,18,0,10,0,27,23,11,6,60,540,0,0,7,21,0,2,26,0,0,11,43,0,17,5,12,2,7,0,33,23,0,7,13,0,5,12,0,0,11,5,28,0,2,4,6,4,39,33,6,5,0,2,21,21,6,64,44,2,7,41,0,3,13,0,4,0,0
"936",5,0,14,1,4,2,1,16,6,52,1,0,18,17,0,4,10,12,2,31,117,1,6,24,31,3,4,18,0,0,12,2,27,35,0,13,2,27,18,3,6,52,537,3,0,11,13,1,2,23,4,1,2,50,1,21,4,18,5,8,0,40,31,2,2,43,0,4,14,0,4,5,5,29,6,0,2,2,6,42,43,12,4,0,5,6,15,16,140,43,6,7,74,0,0,8,0,3,1,0
